# Compound nouns, and the words they are made of.
#
# One line per compound: the word, a tab, then its parts. A sentence saying a
# compound listed ABOVE THE MARKER counts as saying its parts instead, so a
# reader who knows `krank` and `haus` can read `Krankenhaus` without it being
# taught as a word of its own.
#
# ONLY LINES ABOVE THE MARKER COUNT. Below it these are guesses, made by
# cutting wherever both halves are words the corpus says at least thirty
# times. Check each one; delete what is wrong; move the marker down. Nothing
# unverified ever reaches the corpus.
#
# Nouns only, decided by capitalisation -- German writes its nouns with a
# capital, so a lemma whose surfaces are 80% capitalised is one. That test
# removes the family that made the earlier version unusable: separable verb
# prefixes split cleanly and mean something else entirely (ueberleben is not
# ueber + leben, uebernehmen is not ueber + nehmen), and adverbs like
# vielleicht and teilweise merely look compound.
#
# Two filters came before it, each fixing the version above:
#   parts must be words the corpus says 30+ times, or `politisch` comes out
#   as `polit` + `isch` and a hundred rejections sit at the top;
#   parts must not be suffixes, or every `-lich` and `-ung` word decomposes.
#
# Ordered by how often the corpus says each word, most frequent first, so the
# checking pays earliest. The number after each line is that count.








jahrhundert	jahr hundert	# 534
kunstmuseum	kunst museum	# 2
kursgewinn	kurs gewinn	# 2
kurzgutachten	kurz gutachten	# 2
kurzschwert	kurz schwert	# 2
kurzstrecke	kurz strecke	# 2
kurzstreckenflug	kurz strecke flug	# 2
kurzstreckenticket	kurz strecke ticket	# 2
kurzurlaub	kurz urlaub	# 2
kurzzeitgedächtnis	kurz zeit gedächtnis	# 2
körperarzt	körper arzt	# 2
körpereinsatz	körper einsatz	# 2
körperfett	körper fett	# 2
körpermitte	körper mitte	# 2
körperstelle	körper stelle	# 2
küchengerät	küche gerät	# 2
küchenmesser	küche messer	# 2
küchenpapier	küche papier	# 2
kühlschrankfach	kühl schrank fach	# 2
lachgaskonsum	lachgas konsum	# 2
ladentisch	laden tisch	# 2
lageangabe	lage angabe	# 2
lagebild	lage bild	# 2
lagerbereich	lager bereich	# 2
landegenehmigung	land genehmigung	# 2
landesbehörde	land behörde	# 2
landesfläche	land fläche	# 2
landesgruppe	land gruppe	# 2
landesminister	land minister	# 2
landespolizei	land polizei	# 2
landesrecht	land recht	# 2
landesvater	land vater	# 2
landesverfassungsgericht	land verfassung gericht	# 2
landesverteidigung	land verteidigung	# 2
landfläche	land fläche	# 2
landpartie	land partie	# 2
langstrecke	lang strecke	# 2
langstreckenflug	lang strecke flug	# 2
langzeit	lang zeit	# 2
langzeitgedächtnis	lang zeit gedächtnis	# 2
langzeitwandern	lang zeit wandern	# 2
laufband	lauf band	# 2
lautsprache	laut sprache	# 2
lebensmittelbehörde	leben mittel behörde	# 2
lebensmittelbereich	leben mittel bereich	# 2
lebensmittelhandel	leben mittel handel	# 2
lebensmittelhersteller	leben mittel hersteller	# 2
leerlauf	leer lauf	# 2
leerstelle	leer stelle	# 2
leerzeichen	leer zeichen	# 2
lehrergewerkschaft	lehrer gewerkschaft	# 2
leichtfigur	leicht figur	# 2
leidwesen	leid wesen	# 2
leserbrief	leser brief	# 2
lichtblick	licht blick	# 2
lieblingssuperkraft	liebling super kraft	# 2
liedempfehlung	lied empfehlung	# 2
listenplatz	liste platz	# 2
liveshow	live show	# 2
lohnkosten	lohn kosten	# 2
lohnlücke	lohn lücke	# 2
lohnsteuerbescheid	lohn steuer bescheid	# 2
luftblase	luft blase	# 2
luftführung	luft führung	# 2
luftkampf	luft kampf	# 2
luftlinie	luft linie	# 2
luftmoleküle	luft moleküle	# 2
luftschlacht	luft schlacht	# 2
luftstreitkraft	luft streit kraft	# 2
luftstrom	luft strom	# 2
lungenfacharzt	lunge fach arzt	# 2
lungenflügel	lunge flügel	# 2
lungenkrebspatient	lunge krebs patient	# 2
luxusmarke	luxus marke	# 2
längenhalbkreis	länge halb kreis	# 2
lückentext	lücke text	# 2
mafiaorganisation	mafia organisation	# 2
mailadresse	mail adresse	# 2
mannstein	mann stein	# 2
markenklamotte	mark klamotte	# 2
marktlücke	markt lücke	# 2
marktpotenzial	markt potenzial	# 2
marktpreis	markt preis	# 2
maschinenteil	maschine teil	# 2
massangabe	mass angabe	# 2
massendemonstration	mass demonstration	# 2
massenmedium	mass medium	# 2
massenprodukt	mass produkt	# 2
massensterben	mass sterben	# 2
massgabe	mass gabe	# 2
massmensch	mass mensch	# 2
massnahmenpaket	massnahme paket	# 2
mausstudie	maus studie	# 2
maximaldosis	maximal dosis	# 2
medizinprodukt	medizin produkt	# 2
meeresbewohner	meer bewohner	# 2
meeresfrucht	meer frucht	# 2
meeresoberfläche	meer oberfläche	# 2
meetingnotiz	meeting notiz	# 2
mehrzeit	mehr zeit	# 2
meisterbrief	meist brief	# 2
meisterklasse	meist klasse	# 2
menschenfleisch	mensch fleisch	# 2
menschenform	mensch form	# 2
menschengrösse	mensch grösse	# 2
menschenherz	mensch herz	# 2
menschenkenntnis	mensch kenntnis	# 2
menschenmass	mensch mass	# 2
menschenrechtslage	mensch recht lage	# 2
menüpunkt	menü punkt	# 2
metallindustrie	metall industrie	# 2
metallstift	metall stift	# 2
metallstück	metall stück	# 2
metallwand	metall wand	# 2
methanemission	methan emission	# 2
methanquelle	methan quelle	# 2
mikrowellending	mikrowelle ding	# 2
milchbauer	milch bauer	# 2
milchproduktion	milch produktion	# 2
milchsuppe	milch suppe	# 2
militärbudget	militär budget	# 2
militäreinsatz	militär einsatz	# 2
militärexperte	militär experte	# 2
militärführer	militär führer	# 2
militärführung	militär führung	# 2
militärhistoriker	militär historiker	# 2
militäroperation	militär operation	# 2
militärschule	militär schule	# 2
militärstaat	militär staat	# 2
milliardengeschäft	milliarde geschäft	# 2
milliardenkredit	milliarde kredit	# 2
millionenbetrag	million betrag	# 2
millionenhöhe	million höhe	# 2
minderheitenschutz	minderheit schutz	# 2
ministerpost	minister post	# 2
missfalle	miss falle	# 2
missgeburt	miss geburt	# 2
misskredit	miss kredit	# 2
misstrauensantrag	miss trauen antrag	# 2
missverhältnis	miss verhältnis	# 2
mitarbeiterzahl	mitarbeiter zahl	# 2
mitteldeutschland	mittel deutsch land	# 2
mitteleuropäer	mittel europäer	# 2
mittelfeldspieler	mittel feld spieler	# 2
mittelmeerstaat	mittel meer staat	# 2
mittelteil	mittel teil	# 2
mittwochmorgen	mittwoch morgen	# 2
modelkarriere	model karriere	# 2
modellregion	modell region	# 2
modellversuch	modell versuch	# 2
modelpotenzial	model potenzial	# 2
mondbewohner	mond bewohner	# 2
mondpreis	mond preis	# 2
montageplatte	montag platte	# 2
moralpolizei	moral polizei	# 2
mordaktion	mord aktion	# 2
mordkommission	mord kommission	# 2
mordprozess	mord prozess	# 2
mordversuch	mord versuch	# 2
morgenstunde	morgen stunde	# 2
motorkraft	motor kraft	# 2
mrwissen2gogeschichte	mrwissen2go geschichte	# 2
musikhaus	musik haus	# 2
musiklehrer	musik lehrer	# 2
muskelmass	muskel mass	# 2
muskelwachstum	muskel wachstum	# 2
muttermund	mutter mund	# 2
muttersprachlerinnen	muttersprachler innen	# 2
märzrevolution	märz revolution	# 2
müllsack	müll sack	# 2
nachbarzimmer	nachbar zimmer	# 2
nachfolgestaat	nach folge staat	# 2
nachrichtenlage	nach richten lage	# 2
nachrichtenmeldung	nach richten meldung	# 2
nachspiel	nach spiel	# 2
nachthemd	nacht hemd	# 2
nachtjäger	nacht jäger	# 2
nachtsitzung	nacht sitzung	# 2
nachttisch	nacht tisch	# 2
nachweise	nach weise	# 2
nachzahlung	nach zahlung	# 2
nackthund	nackt hund	# 2
namensschild	namens schild	# 2
namensstreit	namens streit	# 2
namensänderung	namens änderung	# 2
nasenbein	nase bein	# 2
nasenflügel	nase flügel	# 2
nasenring	nase ring	# 2
nationalbankchef	national bank chef	# 2
nationalgefühl	national gefühl	# 2
nationalmythos	national mythos	# 2
nationaltrainer	national trainer	# 2
naturschutzbund	natur schutz bund	# 2
naturzustand	natur zustand	# 2
naziherrschaft	nazi herrschaft	# 2
nebenzimmer	neben zimmer	# 2
negativtrend	negativ trend	# 2
nettolohn	netto lohn	# 2
nettoumsatz	netto umsatz	# 2
nichtinfiziert	nicht infiziert	# 2
niederschlagsmuster	nieder schlag muster	# 2
nordstaat	nord staat	# 2
normalgewicht	normal gewicht	# 2
normalzeit	normal zeit	# 2
notfallkontakt	notfall kontakt	# 2
nudelgericht	nudel gericht	# 2
nummernschild	nummer schild	# 2
nutzerinnen	nutzer innen	# 2
obstsalat	obst salat	# 2
obstsuppe	obst suppe	# 2
ofenkartoffel	ofen kartoffel	# 2
onlinemagazin	online magazin	# 2
opfermythos	opfer mythos	# 2
opferschutz	opfer schutz	# 2
optimalfall	optimal fall	# 2
originaldatei	original datei	# 2
originalform	original form	# 2
originalsprache	original sprache	# 2
paarformel	paar formel	# 2
pandemiebeginn	pandemie beginn	# 2
panzerschokolade	panzer schokolade	# 2
panzerwagen	panzer wagen	# 2
papierbericht	papier bericht	# 2
papierspur	papier spur	# 2
parallelgesellschaft	parallel gesellschaft	# 2
parkanlage	park anlage	# 2
parteienkoalition	partei koalition	# 2
parteienverbot	partei verbot	# 2
parteileute	partei leute	# 2
parteilinke	partei linke	# 2
parteiorganisation	partei organisation	# 2
parteispitze	partei spitze	# 2
parteistruktur	partei struktur	# 2
parteiverbotsverfahren	partei verbot verfahren	# 2
parteizeitung	partei zeitung	# 2
partnerschule	partner schule	# 2
passiversatzform	passiv satz form	# 2
passivseite	passiv seite	# 2
pauschalverbot	pauschal verbot	# 2
personalbereich	personal bereich	# 2
personalwesen	personal wesen	# 2
personengruppe	person gruppe	# 2
personenkreis	person kreis	# 2
personenverkehr	person verkehr	# 2
perspektivenwechsel	perspektive wechsel	# 2
pesthaus	pest haus	# 2
pflanzengift	pflanze gift	# 2
pflanzenmilch	pflanze milch	# 2
philosophieprofessor	philosophie professor	# 2
physiklehrer	physik lehrer	# 2
pilotenstreik	pilot streik	# 2
pilotprojekt	pilot projekt	# 2
piratenschiff	pirat schiff	# 2
plastikverpackung	plastik verpackung	# 2
plattdeutsch	platt deutsch	# 2
plattenspieler	platt spieler	# 2
platzmangel	platz mangel	# 2
pluspunkt	plus punkt	# 2
podcastaufnahme	podcast aufnahme	# 2
podcastfolge	podcast folge	# 2
politikberater	politik berater	# 2
politikbereich	politik bereich	# 2
politikbetrieb	politik betrieb	# 2
politikwechsel	politik wechsel	# 2
polizeiarbeit	polizei arbeit	# 2
polizeimeldung	polizei meldung	# 2
polizeistation	polizei station	# 2
poolparty	pool party	# 2
postwesen	post wesen	# 2
potenzialanalyse	potenzial analyse	# 2
praxiserfahrung	praxis erfahrung	# 2
preisgeld	preis geld	# 2
pressearbeit	presse arbeit	# 2
privatkonzert	privat konzert	# 2
privatlehrer	privat lehrer	# 2
privatpolizei	privat polizei	# 2
privatsender	privat sender	# 2
privatunterricht	privat unterricht	# 2
problemlösung	problem lösung	# 2
profisport	profi sport	# 2
propagandaabteilung	propaganda abteilung	# 2
propagandachef	propaganda chef	# 2
proteinbedarf	protein bedarf	# 2
proteinproduktion	protein produktion	# 2
proteinroboter	protein roboter	# 2
proteinstruktur	protein struktur	# 2
protestaktion	protest aktion	# 2
protestlager	protest lager	# 2
protestwähler	protest wähler	# 2
provinzarzt	provinz arzt	# 2
prozentzahl	prozent zahl	# 2
prozessbeginn	prozess beginn	# 2
präfixverb	präfix verb	# 2
punktesystem	punkt system	# 2
punktezahl	punkt zahl	# 2
punktteilchen	punkt teilchen	# 2
quellendokument	quelle dokument	# 2
radioaktiengesellschaft	radio aktie gesellschaft	# 2
radioaktivität	radio aktivität	# 2
radiointerview	radio interview	# 2
radiosendung	radio sendung	# 2
raketeneinschlag	rakete nein schlag	# 2
randnotiz	rand notiz	# 2
rassenlehre	rasse lehre	# 2
rassismuserfahrung	rassismus erfahrung	# 2
rassismusproblem	rassismus problem	# 2
rastplatz	rast platz	# 2
rattenlinie	ratte linie	# 2
raumfahrtbehörde	raum fahrt behörde	# 2
raumfahrtindustrie	raum fahrt industrie	# 2
raumtemperatur	raum temperatur	# 2
realpolitik	real politik	# 2
redebeitrag	rede beitrag	# 2
redetalent	rede talent	# 2
redeverbot	rede verbot	# 2
regelfall	regel fall	# 2
regimekritiker	regime kritiker	# 2
reichensteuer	reich steuer	# 2
reichkriegsflagge	reich krieg flagge	# 2
reinraumtechnik	rein raum technik	# 2
reisebüro	reis büro	# 2
reisedokument	reis dokument	# 2
rekordwert	rekord wert	# 2
rekordzeit	rekord zeit	# 2
rentenkommission	rente kommission	# 2
rentenpolitik	rente politik	# 2
rentenreform	rente reform	# 2
restaurantbesuch	restaurant besuch	# 2
restaurantfachmann	restaurant fach mann	# 2
richterstell	richter stell	# 2
riesenchance	ries chance	# 2
riesenherausforderung	ries herausforderung	# 2
riesenphase	ries phase	# 2
riesenprojekt	ries projekt	# 2
riesensache	ries sache	# 2
riesenschlange	ries schlange	# 2
riesenthema	ries thema	# 2
riesenzaun	ries zaun	# 2
ringbahn	ring bahn	# 2
ringstrasse	ring strasse	# 2
rittershow	ritter show	# 2
rollenklischee	rolle klischee	# 2
rosengarten	rose garten	# 2
rosenmontag	rose montag	# 2
ruhebereich	ruhe bereich	# 2
ruhephase	ruhe phase	# 2
rückenschwimmen	rücken schwimmen	# 2
sackmesser	sack messer	# 2
salatsosse	salat sosse	# 2
samstagnachmittag	samstag nachmittag	# 2
satellitenstaat	satellit staat	# 2
satzverbindung	satz verbindung	# 2
sauermilch	sauer milch	# 2
schattenstaat	schatten staat	# 2
schichtdienst	schicht dienst	# 2
schiffbruch	schiff bruch	# 2
schirmherrschaft	schirm herrschaft	# 2
schlachtplan	schlacht plan	# 2
schlafforscher	schlaf forscher	# 2
schlafforschung	schlaf forschung	# 2
schlaflabor	schlaf labor	# 2
schlafmittel	schlaf mittel	# 2
schlafproblem	schlaf problem	# 2
schlafraum	schlaf raum	# 2
schlafzeit	schlaf zeit	# 2
schlüsselposition	schlüssel position	# 2
schlüsselrolle	schlüssel rolle	# 2
schmerzgedächtnis	schmerz gedächtnis	# 2
schmerzgrenze	schmerz grenze	# 2
schmerzsignal	schmerz signal	# 2
schneeballschlacht	schnee ball schlacht	# 2
schneefallgrenze	schnee fall grenze	# 2
schnellboot	schnell boot	# 2
schnittprogramm	schnitt programm	# 2
schokoladenfabrik	schokolade fabrik	# 2
schokoladenpapier	schokolade papier	# 2
schriftbild	schrift bild	# 2
schriftstelle	schrift stelle	# 2
schuhgeschäft	schuh geschäft	# 2
schuldkomplex	schuld komplex	# 2
schusslinie	schuss linie	# 2
schussverletzung	schuss verletzung	# 2
schusswechsel	schuss wechsel	# 2
schusswunde	schuss wunde	# 2
schutzanspruch	schutz anspruch	# 2
schutzbehauptung	schutz behauptung	# 2
schutzgebiet	schutz gebiet	# 2
schutzmassnahme	schutz massnahme	# 2
schutzraum	schutz raum	# 2
schutzreaktion	schutz reaktion	# 2
schutzrecht	schutz recht	# 2
schutzzone	schutz zone	# 2
schwarzarbeit	schwarz arbeit	# 2
schwergewicht	schwer gewicht	# 2
schwerindustrie	schwer industrie	# 2
schwertkampf	schwert kampf	# 2
schwerverletzter	schwer verletzter	# 2
schwesterkirche	schwester kirche	# 2
schwesterpartei	schwester partei	# 2
schüleraustausch	schüler austausch	# 2
schülerhilfe	schüler hilfe	# 2
schützenfest	schützen fest	# 2
schützengraben	schützen graben	# 2
seelenfrieden	seele frieden	# 2
seilbahn	seil bahn	# 2
seitenlinie	seit linie	# 2
seitenspiegel	seit spiegel	# 2
seitensprung	seit sprung	# 2
seitenteil	seit teil	# 2
seitenwechsel	seit wechsel	# 2
seitenzahl	seit zahl	# 2
selbsterstellung	selbst stellung	# 2
selbstexperiment	selbst experiment	# 2
selbstjustiz	selbst justiz	# 2
selbstkritik	selbst kritik	# 2
selbstmordbomber	selbst mord bomber	# 2
selbstpräsentation	selbst präsentation	# 2
selbstregierung	selbst regierung	# 2
selbstsicherheit	selbst sicherheit	# 2
selbstwert	selbst wert	# 2
selbstzerstörung	selbst zerstörung	# 2
selbstzweck	selbst zweck	# 2
semesterbeitrag	semester beitrag	# 2
serienproduktion	serie produktion	# 2
serviceleistung	service leistung	# 2
sicherstellung	sich stellung	# 2
silbersteinjung	silber stein jung	# 2
sitzmehrheit	sitz mehrheit	# 2
sklavenaufstand	sklave aufstand	# 2
sklavenhaltergesellschaft	sklave halt gesellschaft	# 2
sklavenhändler	sklave händler	# 2
softwareentwicklung	software entwicklung	# 2
softwaregeschäft	software geschäft	# 2
sommerabend	sommer abend	# 2
sommerfest	sommer fest	# 2
sommerloch	sommer loch	# 2
sommermorgen	sommer morgen	# 2
sommerspiel	sommer spiel	# 2
sommerurlaub	sommer urlaub	# 2
sonnebrand	sonne brand	# 2
sonnenblume	sonne blume	# 2
sonnenbrandzelle	sonne brand zelle	# 2
sossenrezept	sosse rezept	# 2
sozialgesetzbuch	sozial gesetz buch	# 2
sozialliberal	sozial liberal	# 2
sozialrecht	sozial recht	# 2
sozialsteuer	sozial steuer	# 2
sozialstunde	sozial stunde	# 2
sozialwissenschaft	sozial wissenschaft	# 2
sozialwissenschaftler	sozial wissenschaftler	# 2
spanischkurs	spanisch kurs	# 2
spannenderweise	spannend weise	# 2
spargelblume	spargel blume	# 2
spielerfrau	spiel frau	# 2
spielfilm	spiel film	# 2
spielgruppe	spiel gruppe	# 2
spielklasse	spiel klasse	# 2
spielplan	spiel plan	# 2
spielreihe	spiel reihe	# 2
spielspass	spiel spass	# 2
spielwelt	spiel welt	# 2
spielzeugauto	spiel zeug auto	# 2
spitzenwert	spitze wert	# 2
sportjacke	sport jacke	# 2
sportlehrerin	sport lehrerin	# 2
sportmannschaft	sport mannschaft	# 2
sportmedizin	sport medizin	# 2
sportwettenverband	sport wette verband	# 2
sportwettenwerbung	sport wette werbung	# 2
sprachenzentrum	sprache zentrum	# 2
sprechenüben	sprechen üben	# 2
spätantike	spät antike	# 2
spätdienst	spät dienst	# 2
spätkauf	spät kauf	# 2
spätmittelalter	spät mittelalter	# 2
spätschicht	spät schicht	# 2
staatengemeinschaft	staat gemeinschaft	# 2
staatenwelt	staat welt	# 2
staatsicherheit	staat sicherheit	# 2
stadtbevölkerung	stadt bevölkerung	# 2
stadtführer	stadt führer	# 2
stadtführung	stadt führung	# 2
stadtgesellschaft	stadt gesellschaft	# 2
stadthafen	stadt hafen	# 2
stadtpark	stadt park	# 2
stammvater	stamm vater	# 2
stammwähler	stamm wähler	# 2
standardaussprache	standard aussprache	# 2
standardeinstellung	standard einstellung	# 2
standardprogramm	standard programm	# 2
standardrede	standard rede	# 2
standortvorteil	standort vorteil	# 2
starkregen	stark regen	# 2
startbahn	start bahn	# 2
startbedingung	start bedingung	# 2
startloch	start loch	# 2
startmenü	start menü	# 2
staubzucker	staub zucker	# 2
steckenpferd	stecken pferd	# 2
stehplatz	steh platz	# 2
steilküste	steil küste	# 2
steinbock	stein bock	# 2
steinhaus	stein haus	# 2
sternerestaurant	stern restaurant	# 2
steuerausgabe	steuer ausgabe	# 2
steuernummer	steuer nummer	# 2
steuerreform	steuer reform	# 2
steuertabelle	steuer tabelle	# 2
steuerwert	steuer wert	# 2
stichwerkzeug	stich werkzeug	# 2
stilrichtung	stil richtung	# 2
stockfisch	stock fisch	# 2
stoffwechselerkrankung	stoff wechsel erkrankung	# 2
strassenband	strasse band	# 2
strassenbild	strasse bild	# 2
strassenecke	strasse ecke	# 2
strassenhund	strasse hund	# 2
strasseninterview	strasse interview	# 2
strassenkampf	strasse kampf	# 2
strassenkämpfen	strasse kämpfen	# 2
strassenverhältnis	strasse verhältnis	# 2
strassenzeichen	strasse zeichen	# 2
strategiewechsel	strategie wechsel	# 2
streckennetz	strecke netz	# 2
streifenpolizist	streifen polizist	# 2
streikwelle	streik welle	# 2
streitgespräch	streit gespräch	# 2
stressfaktor	stress faktor	# 2
strombörse	strom börse	# 2
stromkreis	strom kreis	# 2
stromleitung	strom leitung	# 2
stromnetzbetreiber	strom netz betreiber	# 2
stromproduktion	strom produktion	# 2
stromquelle	strom quelle	# 2
stromrechnung	strom rechnung	# 2
stromsteuer	strom steuer	# 2
stromvertrag	strom vertrag	# 2
strukturformel	struktur formel	# 2
studentenbund	student bund	# 2
studentenkneipe	student kneipe	# 2
studentenprotest	student protest	# 2
studentenvereinigung	student vereinigung	# 2
studentenzeit	student zeit	# 2
studienzeit	studie zeit	# 2
stufenplan	stufe plan	# 2
stuhlgang	stuhl gang	# 2
sturmangriff	sturm angriff	# 2
stückzahl	stück zahl	# 2
supergalaxie	super galaxie	# 2
superheld	super held	# 2
superlösung	super lösung	# 2
supermedium	super medium	# 2
supermodel	super model	# 2
superplan	super plan	# 2
superprofi	super profi	# 2
superthema	super thema	# 2
suppenküche	suppe küche	# 2
systemkamera	system kamera	# 2
süssstoffkonsum	süss stoff konsum	# 2
süssstofflösung	süss stoff lösung	# 2
talentförderung	talent förderung	# 2
tankrabatt	tank rabatt	# 2
taschenbuch	tasche buch	# 2
taschenmesser	tasche messer	# 2
teamarbeit	team arbeit	# 2
teilchenkombination	teilchen kombination	# 2
teilchenstrahlung	teilchen strahlung	# 2
teillegalisierung	teil legalisierung	# 2
teilrückzug	teil rückzug	# 2
telefonbuch	telefon buch	# 2
telefonkabel	telefon kabel	# 2
telefonnetz	telefon netz	# 2
telefonrechnung	telefon rechnung	# 2
tempelberg	tempel berg	# 2
temperaturbereich	temperatur bereich	# 2
terrorregime	terror regime	# 2
terrorwelle	terror welle	# 2
testfeld	test feld	# 2
testmolekül	test molekül	# 2
testobjekt	test objekt	# 2
testpilot	test pilot	# 2
teststatistik	test statistik	# 2
textbasis	text basis	# 2
textverstehen	text verstehen	# 2
theaterprojekt	theater projekt	# 2
theaterspiel	theater spiel	# 2
therapieziel	therapie ziel	# 2
ticketverkauf	ticket verkauf	# 2
tiefdruckgebiet	tief druck gebiet	# 2
tieffliegerangriff	tief flieger angriff	# 2
tiefflug	tief flug	# 2
tiefkühlprodukt	tief kühl produkt	# 2
tierpark	tier park	# 2
tierrecht	tier recht	# 2
tippfehler	tipp fehler	# 2
tischdecken	tisch decken	# 2
tochtergesellschaft	tochter gesellschaft	# 2
toilettengang	toilette gang	# 2
tomatenbauer	tomate bauer	# 2
tomatensosse	tomate sosse	# 2
tomatensuppe	tomate suppe	# 2
transportkosten	transport kosten	# 2
transportproblem	transport problem	# 2
transportsystem	transport system	# 2
trinkflasche	trink flasche	# 2
trinkverhalten	trink verhalten	# 2
trinkwasserquelle	trink wasser quelle	# 2
trockenfleisch	trocken fleisch	# 2
u-bahnfahr	u-bahn fahr	# 2
umsatzsteuererklärung	umsatz steuererklärung	# 2
umsatzsteuergesetz	umsatz steuer gesetz	# 2
umweltaspekt	umwelt aspekt	# 2
umweltauflage	umwelt auflage	# 2
umweltbedingung	umwelt bedingung	# 2
umweltbewegung	umwelt bewegung	# 2
umweltforschung	umwelt forschung	# 2
umweltkatastrophe	umwelt katastrophe	# 2
umweltrecht	umwelt recht	# 2
umweltschutzorganisation	umwelt schutz organisation	# 2
umweltverband	umwelt verband	# 2
umweltveränderung	umwelt veränderung	# 2
umweltzone	umwelt zone	# 2
unfallgefahr	unfall gefahr	# 2
unfallopfer	unfall opfer	# 2
untereinheit	unter einheit	# 2
unterfrau	unter frau	# 2
untergrundkampf	unter grund kampf	# 2
unterhalt	unter halt	# 2
unternehmensberater	unter nehmen berater	# 2
unternehmenserfolg	unter nehmen erfolg	# 2
unternehmensrichtlinie	unter nehmen richtlinie	# 2
unternehmensstrategie	unter nehmen strategie	# 2
untersatz	unter satz	# 2
untertasse	unter tasse	# 2
verfassungsschutzbericht	verfassung schutz bericht	# 2
verständnisproblem	verständnis problem	# 2
videobeweis	video beweis	# 2
videogespräch	video gespräch	# 2
videokanal	video kanal	# 2
videokurs	video kurs	# 2
videoskript	video skript	# 2
videospielgeschichte	video spiel geschichte	# 2
videospur	video spur	# 2
videotitel	video titel	# 2
virenangriff	viren angriff	# 2
vogelstimme	vogel stimme	# 2
vokabelnlernen	vokabel lernen	# 2
vollendung	voll endung	# 2
vollkatastrophe	voll katastrophe	# 2
vollmond	voll mond	# 2
vorauszahlung	voraus zahlung	# 2
vorgängerpartei	vorgänger partei	# 2
wachdienst	wach dienst	# 2
wachleute	wach leute	# 2
waffenbehörde	waffe behörde	# 2
waffenentwicklung	waffe entwicklung	# 2
waffengang	waffe gang	# 2
waffenhandel	waffe handel	# 2
waffenlager	waffe lager	# 2
waffenruhen	waffe ruhen	# 2
wahlalternative	wahl alternative	# 2
wahlausgang	wahl ausgang	# 2
wahlbrief	wahl brief	# 2
wahlbüro	wahl büro	# 2
wahlentscheidung	wahl entscheidung	# 2
wahlforscher	wahl forscher	# 2
wahljahr	wahl jahr	# 2
wahlkreisbüro	wahl kreis büro	# 2
wahlleutesystem	wahl leute system	# 2
wahlplakat	wahl plakat	# 2
wahlumfrage	wahl umfrage	# 2
wahlverlierer	wahl verlierer	# 2
waldgebiet	wald gebiet	# 2
warmwerden	warm werden	# 2
wasserproblem	wasser problem	# 2
wasserstoffkraftwerk	wasser stoff kraftwerk	# 2
wasserstoffstrategie	wasser stoff strategie	# 2
wasserstofftankstelle	wasser stoff tankstelle	# 2
wassertank	wasser tank	# 2
wasserzeichen	wasser zeichen	# 2
weichkäse	weich käse	# 2
weinbauer	wein bauer	# 2
weinstrasse	wein strasse	# 2
weitblick	weit blick	# 2
weiterbildungsprogramm	weit bildung programm	# 2
weiterleitung	weit leitung	# 2
weiterreise	weit reise	# 2
weitwinkel	weit winkel	# 2
weltgeschehen	welt geschehen	# 2
welthungerhilfe	welt hunger hilfe	# 2
weltkonzern	welt konzern	# 2
weltpolizei	welt polizei	# 2
weltraumabenteuer	welt raum abenteuer	# 2
weltrauminfrastruktur	welt raum infrastruktur	# 2
weltraummüll	welt raum müll	# 2
weltraumwetter	welt raum wetter	# 2
weltregierung	welt regierung	# 2
weltrekord	welt rekord	# 2
weltspitze	welt spitze	# 2
wendekreis	wende kreis	# 2
werkstattauflösung	werk statt auflösung	# 2
werkstudent	werk student	# 2
werkzeugfirma	werk zeug firma	# 2
wertegemeinschaft	wert gemeinschaft	# 2
wertsache	wert sache	# 2
wertvorstellung	wert vorstellung	# 2
westfront	west front	# 2
westgrenze	west grenze	# 2
westseite	west seite	# 2
westteil	west teil	# 2
westzone	west zone	# 2
wetterbedingung	wetter bedingung	# 2
wetterextrem	wetter extrem	# 2
wiederaufbaukonferenz	wieder aufbau konferenz	# 2
wiederaufnahme	wieder aufnahme	# 2
wiederaufstieg	wieder aufstieg	# 2
wildpferd	wild pferd	# 2
winkelmass	winkel mass	# 2
winterdepression	winter depression	# 2
winterjacke	winter jacke	# 2
wintermonat	winter monat	# 2
witzfigur	witz figur	# 2
wocheneinkauf	woche nein kauf	# 2
wochenzeitung	woche zeitung	# 2
wohngebäude	wohn gebäude	# 2
wohnverhältnis	wohn verhältnis	# 2
wohnviertel	wohn viertel	# 2
wortkombination	wort kombination	# 2
wortpaar	wort paar	# 2
worträtsel	wort rätsel	# 2
wortschatzwiederholung	wort schatz wiederholung	# 2
wortsinn	wort sinn	# 2
wortteil	wort teil	# 2
wortwitze	wort witze	# 2
wunderwerk	wunder werk	# 2
wunschkandidat	wunsch kandidat	# 2
wunschkonzert	wunsch konzert	# 2
wurstplatte	wurst platte	# 2
wurstsalat	wurst salat	# 2
wählerwille	wähler wille	# 2
wärmeleiter	wärme leiter	# 2
wärmequelle	wärme quelle	# 2
wärmestrahlung	wärme strahlung	# 2
wüstensand	wüste sand	# 2
zahlensystem	zahl system	# 2
zahnarztpraxis	zahn arzt praxis	# 2
zahnstein	zahn stein	# 2
zahnversicherung	zahn versicherung	# 2
zeichentrick	zeichen trick	# 2
zeitabschnitt	zeit abschnitt	# 2
zeitabstand	zeit abstand	# 2
zeitarbeit	zeit arbeit	# 2
